data_estrazione;provincia;comune;tipo;candidato_riferimento;nome;voti;percentuale
2024-11-19 08:54:09;Rimini;MONTECOPIOLO;CANDIDATO;;SERRA FEDERICO;1;0,25
2024-11-19 08:54:09;Rimini;MONTECOPIOLO;LISTA;SERRA FEDERICO;Candidati presidente;394;100
2024-11-19 08:54:09;Rimini;MONTECOPIOLO;LISTA;SERRA FEDERICO;Liste;375;100
2024-11-19 08:54:19;Rimini;MONTEFIORE CONCA;CANDIDATO;;UGOLINI ELENA;246;49,10
2024-11-19 08:54:19;Rimini;MONTEFIORE CONCA;CANDIDATO;;DE PASCALE MICHELE;228;45,51
2024-11-19 08:54:19;Rimini;MONTEFIORE CONCA;CANDIDATO;;TEODORI LUCA;16;3,19
2024-11-19 08:54:19;Rimini;MONTEFIORE CONCA;CANDIDATO;;SERRA FEDERICO;11;2,20
2024-11-19 08:54:19;Rimini;MONTEFIORE CONCA;LISTA;SERRA FEDERICO;Candidati presidente;501;100
2024-11-19 08:54:19;Rimini;MONTEFIORE CONCA;LISTA;SERRA FEDERICO;Liste;469;100
2024-11-19 08:54:30;Rimini;MONTEGRIDOLFO;CANDIDATO;;DE PASCALE MICHELE;166;60,81
2024-11-19 08:54:30;Rimini;MONTEGRIDOLFO;CANDIDATO;;UGOLINI ELENA;96;35,16
2024-11-19 08:54:30;Rimini;MONTEGRIDOLFO;CANDIDATO;;SERRA FEDERICO;6;2,20
2024-11-19 08:54:30;Rimini;MONTEGRIDOLFO;CANDIDATO;;TEODORI LUCA;5;1,83
2024-11-19 08:54:30;Rimini;MONTEGRIDOLFO;LISTA;TEODORI LUCA;Candidati presidente;273;100
2024-11-19 08:54:30;Rimini;MONTEGRIDOLFO;LISTA;TEODORI LUCA;Liste;257;100
2024-11-19 08:54:40;Rimini;MONTESCUDO - MONTE COLOMBO;CANDIDATO;;UGOLINI ELENA;976;55,27
2024-11-19 08:54:40;Rimini;MONTESCUDO - MONTE COLOMBO;CANDIDATO;;DE PASCALE MICHELE;727;41,17
2024-11-19 08:54:40;Rimini;MONTESCUDO - MONTE COLOMBO;CANDIDATO;;TEODORI LUCA;35;1,98
2024-11-19 08:54:40;Rimini;MONTESCUDO - MONTE COLOMBO;CANDIDATO;;SERRA FEDERICO;28;1,59
2024-11-19 08:54:40;Rimini;MONTESCUDO - MONTE COLOMBO;LISTA;SERRA FEDERICO;Candidati presidente;1766;100
